,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AFE_230V_16A,,,,,,,,,
Mouser #,Mfr. #,Manufacturer,Customer #,Description,RoHS,Lifecycle,Order Qty.,Price (USD),Ext.: (USD)
584-AD8538AUJZ-R7,AD8538AUJZ-REEL7,Analog Devices Inc.,"AFE_U1-3,6",Precision Amplifiers ingle Low Power AutoZero Amp,RoHS Compliant,,6,$1.99,$7.96
250-711ELCTR25ABT,ACS711ELCTR-25AB-T,Allegro MicroSystems,afe_U5,Board Mount Current Sensors CURRENT SENSOR WITH OVERCURRENT FAULT OUTPUT,RoHS Compliant By Exemption,,1,$1.54,$1.54
595-REF3030AIDBZR,REF3030AIDBZR,Texas Instruments,afe_U7,Voltage References 3.0V 50ppm/DegC 50uA SOT23-3 Series A 595-REF3030AIDBZT,RoHS Compliant,,2,$1.02,$1.02
769-AQH3223A,AQH3223A,Panasonic,afe_U4,Solid State Relays - PCB Mount AC 600 V 1.2 A Non- Zero Cross,RoHS Compliant,,2,$1.94,$1.94
187-CL05C102JB51PNC,CL05C102JB51PNC,Samsung Electro-Mechanics,"afe_C1,2",Multilayer Ceramic Capacitors MLCC - SMD/SMT 1nF C0G 50V 0402 Auto grade,RoHS Compliant,New Product,4,$0.10,$0.20
,,,,,,,,,
771-PDZ36B-T/R,"PDZ36B,115",Nexperia,afe_D1-4 !,Zener Diodes PDZ36B/SOD323/SOD2,RoHS Compliant,,8,$0.15,$0.60
652-CHP1206AFX-6803L,CHP1206AFX-6803ELF,Bourns,afe_r1-12,Thick Film Resistors - SMD ResHighPowerA 1206 68R 1% 3/4W TC100,RoHS Compliant By Exemption,,24,$0.202,$2.42
667-ERJ-P06F4993V,ERJ-P06F4993V,Panasonic,"afe_R13,14",Thick Film Resistors - SMD 0805 499Kohms 0.5W 1% AEC-Q200,RoHS Compliant By Exemption,,4,$0.18,$0.36
660-SG73P2ATTD2002F,SG73P2ATTD2002F,KOA Speer,"afe_R15-18,35,36",Thick Film Resistors - SMD 0.5W 20Kohm 1% AEC-Q200,RoHS Compliant By Exemption,,12,$0.17,$1.02
71-RCC08050000Z0EA,RCC08050000Z0EA,Vishay,afe_R38_dnp,Thick Film Resistors - SMD Zero ohm Jumper,RoHS Compliant By Exemption,,7,$0.13,$0.39
667-ERJ-P06F1001V,ERJ-P06F1001V,Panasonic,"afe_R30-34,37",Thick Film Resistors - SMD 0805 1Kohms 0.5W 1% AEC-Q200,RoHS Compliant By Exemption,,12,$0.062,$0.74
667-ERJ-P06F33R2V,ERJ-P06F33R2V,Panasonic,"afe_R22,23",Thick Film Resistors - SMD 0805 33.2ohms 0.5W 1% AEC-Q200,RoHS Compliant By Exemption,,4,$0.18,$0.36
,,,,,RoHS Compliant,,,,
,,,,,RoHS Compliant,,,,
279-TLRP3A20WR005FTE,TLRP3A20WR005FTE,TE Connectivity,afe_R29,Current Sense Resistors - SMD TLRP 2512 2.0W R005 1% 75PPM 4K RL,,,1,$0.66,$0.66
,,,,,,,,,
651-2896050,2896050,Phoenix Contact,,Upper housing,,,2,,
651-2896267,2896267,Phoenix Contact,,Housing base,,,2,,
651-2896128,2896128,Phoenix Contact,,Housing cover,,,1,,
651-2896209,2896209,Phoenix Contact,,Filler Plug,,,2,,
,,,,,,,,,
200-ESW10612GD,ESW-106-12-G-D,Samtec,afe_pcb4_conn,Elevated socket strip,,,2,,
855-M20-9774046,M20-9774046,Darwin,,Pin header strip,,,4,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
649-76308-120LF,76308-120LF,Amphenol FCI,,1x20 pinheaded socket (black pill),,,5,,
,,,,,,,,,
81-GCM188R71C104KA7J,GCM188R71C104KA37J,Murata,afe_C4-10,0.1uf filter caps,,,8,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
651-1800882,1800882,,AC input_alts,"MKDSN 2,5/ 3-5,08",,,4,,
651-1989405,1989405,,AC inputs,"MKDSN 2,5/ 6-5,08",,,0,,
651-1715190,1715190,,Signal,"MKDS 1,5/ 6",,,2,,
,,,,,,,,,
604-APT2012LZGCK,APT2012LZGCK,,"afe_led1,2",LED,,,4,,
279-CRG0805J2K2,CRG0805J2K2,,afe_led_r,LED_r,,,4,,
