Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,,,,
,,,,,,
C1,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.807500,-85.900000,0.000000,top
C2,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.597500,-90.540000,0.000000,top
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.627500,-104.640000,180.000000,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.000000,-83.600000,180.000000,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.380000,-78.750000,180.000000,top
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.067500,-67.450000,180.000000,top
D1,PDZ36B,D_SOD-323_HandSoldering,126.625000,-76.175000,180.000000,top
D2,PDZ36B,D_SOD-323_HandSoldering,122.150000,-76.175000,0.000000,top
D3,PDZ36B,D_SOD-323_HandSoldering,126.600000,-78.675000,180.000000,top
D4,PDZ36B,D_SOD-323_HandSoldering,122.175000,-78.675000,0.000000,top
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
R15,20K,R_0805_2012Metric,134.039318,-87.050000,90.000000,top
R16,20K,R_0805_2012Metric,147.532500,-91.637500,90.000000,top
R17,20K,R_0805_2012Metric,137.120000,-87.812500,180.000000,top
R18,20K,R_0805_2012Metric,150.495000,-92.375000,180.000000,top
R19,510,R_0805_2012Metric,141.314318,-82.812500,90.000000,top
R20,1K,R_0805_2012Metric,141.360000,-91.660000,0.000000,top
R21,510,R_0805_2012Metric,154.882500,-87.537500,-90.000000,top
,,,,,,
,,,,,,
R24,1K,R_0805_2012Metric,139.150000,-74.125000,90.000000,top
R25,1K,R_0805_2012Metric,141.375000,-74.125000,90.000000,top
R26,1K,R_0805_2012Metric,145.075000,-70.137500,90.000000,top
R27,1K,R_0805_2012Metric,135.450000,-74.000000,-90.000000,top
R28,1K,R_0805_2012Metric,135.475000,-69.905000,-90.000000,top
,,,,,,
R30,1K,R_0805_2012Metric,145.550000,-113.612500,90.000000,top
R31,1K,R_0805_2012Metric,156.305000,-114.512500,-90.000000,top
R32,1K,R_0805_2012Metric,140.890000,-110.350000,180.000000,top
R33,1K,R_0805_2012Metric,156.305000,-110.787500,90.000000,top
R34,1K,R_0805_2012Metric,155.400000,-106.250000,180.000000,top
R35,20K,R_0805_2012Metric,146.912500,-97.975000,180.000000,top
R36,20K,R_0805_2012Metric,150.662500,-97.975000,180.000000,top
R37,1K,R_0805_2012Metric,155.275000,-97.975000,180.000000,top
R38,0,R_0805_2012Metric,155.312500,-100.100000,180.000000,top
R39,0,R_0805_2012Metric,123.160000,-70.057500,-90.000000,top
,,,,,,
R40,2.2k,R_0805_2012Metric,156.160000,-58.717500,90.000000,top
R41,2.2k,R_0805_2012Metric,181.960000,-66.030000,90.000000,top
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
U7,REF3030,SOT-23,141.952500,-99.420000,180.000000,top
